Address	Ordinal	Name	Library
			
828A9C4C	651	XNotifyGetNext	xam.xex
828A9C5C	423	XamLoaderGetLaunchDataSize	xam.xex
828A9C6C	973	XGetLanguage	xam.xex
828A9C7C	977	XGetVideoMode	xam.xex
828A9C8C	424	XamLoaderGetLaunchData	xam.xex
828A9C9C	422	XamLoaderSetLaunchData	xam.xex
828A9CAC	503	XMsgStartIORequest	xam.xex
828A9CBC	526	XamUserGetName	xam.xex
828A9CCC	528	XamUserGetSigninState	xam.xex
828A9CDC	531	XamUserAreUsersFriends	xam.xex
828A9CEC	530	XamUserCheckPrivilege	xam.xex
828A9CFC	759	XamUserCreateStatsEnumerator	xam.xex
828A9D0C	757	XamReadTileToTexture	xam.xex
828A9D1C	778	XamParseGamerTileKey	xam.xex
828A9D2C	752	XamWriteGamerTile	xam.xex
828A9D3C	777	XamUserCreatePlayerEnumerator	xam.xex
828A9D4C	750	XamUserCreateAchievementEnumerator	xam.xex
828A9D5C	522	XamUserGetXUID	xam.xex
828A9D6C	700	XamShowSigninUI	xam.xex
828A9D7C	702	XamShowSigninUIp	xam.xex
828A9D8C	703	XamShowFriendsUI	xam.xex
828A9D9C	712	XamShowPlayersUI	xam.xex
828A9DAC	704	XamShowMessagesUI	xam.xex
828A9DBC	705	XamShowKeyboardUI	xam.xex
828A9DCC	706	XamShowQuickChatUI	xam.xex
828A9DDC	707	XamShowVoiceMailUI	xam.xex
828A9DEC	725	XamShowGamerCardUIForXUID	xam.xex
828A9DFC	709	XamShowAchievementsUI	xam.xex
828A9E0C	710	XamShowPlayerReviewUI	xam.xex
828A9E1C	711	XamShowMarketplaceUI	xam.xex
828A9E2C	715	XamShowDeviceSelectorUI	xam.xex
828A9E3C	714	XamShowMessageBoxUI	xam.xex
828A9E4C	716	XamShowMessageComposeUI	xam.xex
828A9E5C	717	XamShowGameInviteUI	xam.xex
828A9E6C	718	XamShowFriendRequestUI	xam.xex
828A9E7C	729	XamShowDirtyDiscErrorUI	xam.xex
828A9E8C	471	XamCustomSetBannerImage	xam.xex
828A9E9C	650	XamNotifyCreateListener	xam.xex
828A9EAC	420	XamLoaderLaunchTitle	xam.xex
828A9EBC	400	XamInputGetCapabilities	xam.xex
828A9ECC	401	XamInputGetState	xam.xex
828A9EDC	402	XamInputSetState	xam.xex
828A9EEC	408	XamInputGetKeystrokeEx	xam.xex
828A9EFC	732	XamShowMessageBoxUIEx	xam.xex
828A9F0C	425	XamLoaderTerminateTitle	xam.xex
828A9F1C	640	XamGetExecutionId	xam.xex
828AA55C	590	XamCreateEnumeratorHandle	xam.xex
828AA56C	508	XMsgStartIORequestEx	xam.xex
828AA57C	642	XamGetSystemVersion	xam.xex
828AA58C	502	XMsgSystemProcessCall	xam.xex
828AA59C	500	XMsgInProcessCall	xam.xex
828AA5AC	591	XamGetPrivateEnumStructureFromHandle	xam.xex
828AA5BC	51	NetDll_XNetStartup	xam.xex
828AA5CC	52	NetDll_XNetCleanup	xam.xex
828AA5DC	53	NetDll_XNetRandom	xam.xex
828AA5EC	54	NetDll_XNetCreateKey	xam.xex
828AA5FC	55	NetDll_XNetRegisterKey	xam.xex
828AA60C	56	NetDll_XNetUnregisterKey	xam.xex
828AA61C	57	NetDll_XNetXnAddrToInAddr	xam.xex
828AA62C	58	NetDll_XNetServerToInAddr	xam.xex
828AA63C	59	NetDll_XNetTsAddrToInAddr	xam.xex
828AA64C	60	NetDll_XNetInAddrToXnAddr	xam.xex
828AA65C	61	NetDll_XNetInAddrToServer	xam.xex
828AA66C	62	NetDll_XNetInAddrToString	xam.xex
828AA67C	63	NetDll_XNetUnregisterInAddr	xam.xex
828AA68C	64	NetDll_XNetXnAddrToMachineId	xam.xex
828AA69C	65	NetDll_XNetConnect	xam.xex
828AA6AC	66	NetDll_XNetGetConnectStatus	xam.xex
