Address	Ordinal	Name	Library

820008EC	403	XexExecutableModuleHandle	xboxkrnl.exe
820008F8	430	ExLoadedCommandLine	xboxkrnl.exe
82000910	27	ExThreadObjectType	xboxkrnl.exe
8200095C	173	KeTimeStampBundle	xboxkrnl.exe
820009A8	449	VdHSIOCalibrationLock	xboxkrnl.exe
820009E4	448	VdGpuClockInMHz	xboxkrnl.exe
820009FC	89	KeDebugMonitorData	xboxkrnl.exe
82000A10	614	KeCertMonitorData	xboxkrnl.exe
82000B44	447	VdGlobalXamDevice	xboxkrnl.exe
82000B48	446	VdGlobalDevice	xboxkrnl.exe
82000B9C	14	ExEventObjectType	xboxkrnl.exe
82000BA8	23	ExSemaphoreObjectType	xboxkrnl.exe
82000BB8	28	ExTimerObjectType	xboxkrnl.exe
828A9F2C	436	VdEnableDisableClockGating	xboxkrnl.exe
828A9F3C	444	VdGetGraphicsAsicID	xboxkrnl.exe
828A9F4C	102	KeGetCurrentProcessType	xboxkrnl.exe
828A9F5C	196	MmQueryAddressProtect	xboxkrnl.exe
828A9F6C	177	KfAcquireSpinLock	xboxkrnl.exe
828A9F7C	473	VdSetSystemCommandBufferGpuIdentifierAddress	xboxkrnl.exe
828A9F8C	180	KfReleaseSpinLock	xboxkrnl.exe
828A9F9C	456	VdQuerySystemCommandBuffer	xboxkrnl.exe
828A9FAC	479	KiApcNormalRoutineNop_0	xboxkrnl.exe
828A9FBC	472	VdSetSystemCommandBuffer	xboxkrnl.exe
828A9FCC	190	MmGetPhysicalAddress	xboxkrnl.exe
828A9FDC	137	KeReleaseSpinLockFromRaisedIrql	xboxkrnl.exe
828A9FEC	438	VdEnableRingBufferRPtrWriteBack	xboxkrnl.exe
828A9FFC	451	VdInitializeRingBuffer	xboxkrnl.exe
828AA00C	77	KeAcquireSpinLockAtRaisedIrql	xboxkrnl.exe
828AA01C	189	MmFreePhysicalMemory	xboxkrnl.exe
828AA02C	455	VdPersistDisplay	xboxkrnl.exe
828AA03C	603	VdSwap	xboxkrnl.exe
828AA04C	445	VdGetSystemCommandBuffer	xboxkrnl.exe
828AA05C	293	RtlEnterCriticalSection	xboxkrnl.exe
828AA06C	304	RtlLeaveCriticalSection	xboxkrnl.exe
828AA07C	302	RtlInitializeCriticalSection	xboxkrnl.exe
828AA08C	441	VdGetCurrentDisplayGamma	xboxkrnl.exe
828AA09C	315	sprintf	xboxkrnl.exe
828AA0AC	333	_vsnprintf	xboxkrnl.exe
