name,unleashed_addr
sub_822C3778,0x822C3778
sub_822C55B0,0x822C55B0
sub_822D0328,0x822D0328
sub_823AF7A8,0x823AF7A8
sub_823B4590,0x823B4590
sub_823B49D8,0x823B49D8
sub_8243B618,0x8243B618
sub_82448CF0,0x82448CF0
sub_82449088,0x82449088
sub_8245F048,0x8245F048
sub_82467890,0x82467890
sub_824697B0,0x824697B0
sub_82486968,0x82486968
sub_824B0930,0x824B0930
sub_824C1E60,0x824C1E60
sub_824DAB60,0x824DAB60
sub_824DCF38,0x824DCF38
sub_824E5170,0x824E5170
sub_824EB290,0x824EB290
sub_824EB5B0,0x824EB5B0
sub_824EB9B0,0x824EB9B0
sub_824ECA00,0x824ECA00
sub_824EE620,0x824EE620
sub_824EFD28,0x824EFD28
sub_8250FC70,0x8250FC70
sub_825197C0,0x825197C0
sub_82547DF0,0x82547DF0
sub_825518B8,0x825518B8
sub_8256C938,0x8256C938
sub_82586698,0x82586698
sub_82587E50,0x82587E50
sub_825882B8,0x825882B8
sub_8258B558,0x8258B558
sub_825E2E60,0x825E2E60
sub_825E2E70,0x825E2E70
sub_825E2E88,0x825E2E88
sub_825E2F78,0x825E2F78
sub_825E4068,0x825E4068
sub_825E4300,0x825E4300
sub_82608E60,0x82608E60
sub_8260BBF8,0x8260BBF8
sub_82614228,0x82614228
sub_826145D8,0x826145D8
sub_82624308,0x82624308
sub_82690660,0x82690660
sub_826906A8,0x826906A8
sub_8271AA30,0x8271AA30
sub_8271AC08,0x8271AC08
sub_82736E80,0x82736E80
sub_827CBF68,0x827CBF68
sub_82AC36E0,0x82AC36E0
sub_82AE30D8,0x82AE30D8
sub_82B00D00,0x82B00D00
sub_82B14CC0,0x82B14CC0
sub_82B43480,0x82B43480
sub_82B4DB48,0x82B4DB48
sub_82B8A8F8,0x82B8A8F8
sub_82B8AA40,0x82B8AA40
sub_82BD06C8,0x82BD06C8
sub_82BD4AE8,0x82BD4AE8
sub_82E0B500,0x82E0B500
sub_82E0CC38,0x82E0CC38
sub_82E0D3E8,0x82E0D3E8
sub_82E140D8,0x82E140D8
sub_82E16C70,0x82E16C70
sub_82E250D0,0x82E250D0
sub_82E38650,0x82E38650
sub_82E3AFC8,0x82E3AFC8
sub_82E3B1C0,0x82E3B1C0
sub_82E44AF8,0x82E44AF8
sub_82E54950,0x82E54950
sub_82E9F048,0x82E9F048
sub_8305D5B8,0x8305D5B8
sub_830BC640,0x830BC640
sub_830C6A00,0x830C6A00
sub_830D1EF0,0x830D1EF0
sub_830D2328,0x830D2328
sub_830D25D8,0x830D25D8
sub_8312DBF8,0x8312DBF8
sub_8314A310,0x8314A310
